,Product,Price,Status
87,"Laptop Ultraportabil HP Laptop 14s-dq0003nq cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, 14"", Full HD, 8GB, 512GB SSD, Intel® UHD Graphics 620, Windows 10 Home, Silver",2.99999 Lei,în stoc
88,"Laptop ASUS VivoBook 15 X540UA cu procesor Intel® Pentium® Gold 4417U 2.30 GHz Kaby Lake R, 15.6"", 4GB, 1TB, Intel HD Graphics 610, Endless OS, Chocolate Black",1.04999 Lei,în stoc
89,"Laptop Dell Inspiron 3593 cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz Ice Lake, 15.6"", Full HD, 8GB, 512GB SSD, NVIDIA GeForce MX230 2GB, Linux, Black",3.08999 Lei,în stoc furnizor
90,"Laptop Apple MacBook Pro 16"" Touch Bar, procesor Intel® Core™ i7 2.60 GHz, 16GB, 512GB SSD, Radeon Pro 5300M 4GB, Space Grey, INT KB",13.49999 Lei,stoc epuizat
91,"Laptop gaming ASUS ROG Strix G531GU cu procesor Intel® Core™ i5-9300H pana la 4.0 GHz Coffee Lake, 15.6"", Full HD, IPS, 120Hz, 8GB, 512GB SSD, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, Black",4.79999 Lei,în stoc
92,"Laptop Lenovo Ideapad S145-15IWL cu procesor Intel® Core™ i3-8145U pana la 3.90 GHz, 15.6"", Full HD, 4GB, 256GB SSD, NVIDIA GeForce MX110 2GB, Free DOS, Grey",1.74999 Lei,în stoc
93,"Laptop Dell Inspiron 3584 cu procesor Intel® Core™ i3-7020U 2.30 GHz Kaby Lake, 15.6"", Full HD, 4GB, 128GB SSD, Intel HD Graphics, Windows 10 Home, Black",1.74999 Lei,în stoc
94,"Laptop Gaming Lenovo Legion Y540-15IRH cu procesor Intel® Core i5-9300H pana la 4.10 GHz, 15.6"", Full HD, 144Hz, 8GB, 512GB SSD M.2, NVIDIA GeForce RTX 2060 6GB, Free DOS, Black",4.99999 Lei,în stoc
95,"Laptop Gaming ASUS TUF FX505DD-BQ271 cu procesor AMD Ryzen™ 5-3550H pana la 3.70 GHz, 15.6"", FullHD, IPS, 8GB, 1 TB Hybrid HDD FireCuda, nVIDIA GeForce GTX 1050 GDDR5 3GB, Anti glare, Carcasa metalica, Gold Steel",2.89000 Lei,în stoc
96,"Laptop Gaming ASUS TUF FX705DY cu procesor AMD Ryzen 5 3550H pana la 3.70 GHz, 17.3"", Full HD, IPS, 8GB, 1TB HDD, AMD RADEON RX560X 4GB, Free DOS, Red Matter",2.99999 Lei,în stoc
97,"Laptop ultraportabil ASUS ZenBook Pro Duo UX581GV cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 15.6"", 4K, 16GB, 512GB SSD, NVIDIA GeForce RTX 2060 6GB, Windows 10 Pro, Celestial Blue",12.79999 Lei,în stoc
98,"Laptop Gaming Lenovo Legion Y740-17IRHg cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake, 17.3"", Full HD, IPS, 144Hz, G-Sync, 32GB, 1TB HDD + 512GB SSD, NVIDIA GeForce RTX 2070 Max-Q 8GB, Free DOS, Black",10.49999 Lei,ultimul produs in stoc
99,"Laptop 2 in 1 Lenovo Ideapad C340-15IIL cu procesor Intel® Core™ i5-1035G1 pana la 3.60 GHz Ice Lake, 15.6"", Full HD, IPS, 8GB, 512GB SSD, Intel UHD Graphics, Windows 10 Home, Platinum",4.29999 Lei,ultimul produs in stoc
100,"Laptop Gaming Lenovo Legion Y540-17IRH cu procesor Intel Core i7-9750H pana la 4.5 GHz, 17.3"", Full HD, IPS, 16GB, 512 SSD M.2, NVIDIA GeForce GTX 1660Ti 6GB, Free DOS, Black",5.39999 Lei,în stoc
101,"Laptop HP ProBook 450 G6 cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 15.6"", Full HD, 16GB, 256GB SSD, NVIDIA GeForce MX130 2GB, Free DOS, Silver",3.77999 Lei,în stoc furnizor
102,"Laptop ASUS X509FJ cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz Whiskey Lake, 15.6"", Full HD, 8GB, 1TB HDD, NVIDIA GeForce MX230 2GB, Endless OS, Slate Gray",2.89999 Lei,în stoc
103,"Laptop Gaming MSI GP65 Leopard 9SD-257XRO cu procesor Intel® Core™ i7-9750H pana la 4.50 GHz Coffee Lake Refresh, 15.6"", Full HD, 144Hz, 16GB, 512GB SSD, nVidia GeForce GTX 1660 Ti 6GB, Free DOS, Black",5.49999 Lei,în stoc
104,"Laptop HP 15-rb018nq, AMD A4-9120, 4GB DDR4, HDD 500GB, AMD Radeon R3, Free DOS",94999 Lei,în stoc
105,"Laptop Gaming Asus ROG Strix G731GV cu procesor Intel Core i7-9750H pana la 4.5 GHz, 17.3"", Full HD, 144 Hz, 16GB, 512GB SSD M.2, Nvidia GeForce RTX 2060 6GB, Free DOS, Black",6.19999 Lei,ultimele 2 produse
106,"Laptop Lenovo V130-15IKB cu procesor Intel Celeron 3867U 1.8GHz, 15.6"", HD, 4GB, 128GB SSD, Intel HD Graphics 620, Free DOS, Black",89999 Lei,în stoc
107,"Laptop ultraportabil ASUS VivoBook S14 S430FN cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz, Whiskey Lake, 14"", Full HD, 8GB, 1TB, NVIDIA GeForce MX150 2GB, Free DOS, Gun Metal",3.19999 Lei,în stoc
108,"Laptop ultraportabil ASUS VivoBook S14 S430FA cu procesor Intel® Core™ i5-8265U pana la 3.90 GHz, Whiskey Lake, 14"", Full HD, 8GB, 1TB, Intel UHD Graphics 620, Endless OS, Gun Metal",2.54999 Lei,în stoc
109,"Laptop 2 in 1 HP Elite Dragonfly cu procesor Intel® Core™ i7-8565U pana la 4.60 GHz Whiskey Lake, 13.3"", Full HD, Touch, 16GB, 1TB SSD, Intel® UHD Graphics 620, Windows 10 Pro, Cobalt Blue",13.49999 Lei,ultimul produs in stoc
110,"Laptop Lenovo Ideapad S145-15IWL cu procesor Intel® Core i3-8145U pana la 3.90 GHz, 15.6"", Full HD, 4GB, 128GB SSD M.2, Intel UHD Graphics 620, Free DOS, Grey",1.54999 Lei,în stoc
111,"Laptop Acer Aspire 3 A315-55G-55VH cu procesor Intel® Core™ i5-10210U pana la 4.10 GHz Comet Lake, 15.6"", Full HD, 8GB, 1TB HDD, nVidia GeForce MX230 2GB, Endless OS, Charcoal Black",2.39999 Lei,în stoc
